designation,designation_metric,W_lb_ft,A_in2,d_in,tw_in,bf_in,tf_in,Ix_in4,Sx_in3,rx_in,Zx_in3,Iy_in4,Sy_in3,ry_in,Zy_in3,J_in4,Cw_in6,rts_in,ho_in
W21X57,W530X85,57,16.7,21.1,0.405,6.56,0.65,1170,111,8.36,129,30.6,9.35,1.35,14.8,1.77,3190,1.68,20.5
W21X50,W530X74,50,14.7,20.8,0.38,6.53,0.535,984,94.5,8.18,110,24.9,7.64,1.3,12.2,1.14,2570,1.64,20.3
W21X44,W530X66,44,13,20.7,0.35,6.5,0.45,843,81.6,8.06,95.4,20.7,6.37,1.26,10.2,0.77,2110,1.6,20.3
W18X311,W460X464,311,91.6,22.3,1.52,12,2.74,6970,624,8.72,754,795,132,2.95,207,176,76200,3.53,19.6
W18X283,W460X421,283,83.3,21.9,1.4,11.9,2.5,6170,565,8.61,676,704,118,2.91,185,134,65900,3.47,19.4
W18X258,W460X384,258,76,21.5,1.28,11.8,2.3,5510,514,8.53,611,628,107,2.88,166,103,57600,3.42,19.2
W18X234,W460X349,234,68.6,21.1,1.16,11.7,2.11,4900,466,8.44,549,558,95.8,2.85,149,78.7,50100,3.37,19
W18X211,W460X315,211,62.3,20.7,1.06,11.6,1.91,4330,419,8.35,490,493,85.3,2.82,132,58.6,43400,3.32,18.8
W18X192,W460X286,192,56.2,20.4,0.96,11.5,1.75,3870,380,8.28,442,440,76.8,2.79,119,44.7,38000,3.28,18.7
W18X175,W460X260,175,51.4,20,0.89,11.4,1.59,3450,344,8.2,398,391,68.8,2.76,106,33.8,33300,3.24,18.4
W18X158,W460X235,158,46.3,19.7,0.81,11.3,1.44,3060,310,8.12,356,347,61.4,2.74,94.8,25.2,29000,3.2,18.3
W18X143,W460X213,143,42,19.5,0.73,11.2,1.32,2750,282,8.09,322,311,55.5,2.72,85.4,19.2,25700,3.17,18.2
W18X130,W460X193,130,38.3,19.3,0.67,11.2,1.2,2460,256,8.03,290,278,49.9,2.7,76.7,14.5,22700,3.13,18.1
W18X119,W460X177,119,35.1,19,0.655,11.3,1.06,2190,231,7.9,262,253,44.9,2.69,69.1,10.6,20300,3.13,17.9
W18X106,W460X158,106,31.1,18.7,0.59,11.2,0.94,1910,204,7.84,230,220,39.4,2.66,60.5,7.48,17400,3.1,17.8
W18X97,W460X144,97,28.5,18.6,0.535,11.1,0.87,1750,188,7.82,211,201,36.1,2.65,55.3,5.86,15800,3.08,17.7
W18X86,W460X128,86,25.3,18.4,0.48,11.1,0.77,1530,166,7.77,186,175,31.6,2.63,48.4,4.1,13600,3.05,17.6
W18X76,W460X113,76,22.3,18.2,0.425,11,0.68,1330,146,7.73,163,152,27.6,2.61,42.2,2.83,11700,3.02,17.5
W18X71,W460X106,71,20.9,18.5,0.495,7.64,0.81,1170,127,7.5,146,60.3,15.8,1.7,24.7,3.49,4700,2.05,17.7
W18X65,W460X97,65,19.1,18.4,0.45,7.59,0.75,1070,117,7.49,133,54.8,14.4,1.69,22.5,2.73,4240,2.03,17.7
W18X60,W460X89,60,17.6,18.2,0.415,7.56,0.695,984,108,7.47,123,50.1,13.3,1.68,20.6,2.17,3850,2.02,17.5
W18X55,W460X82,55,16.2,18.1,0.39,7.53,0.63,890,98.3,7.41,112,44.9,11.9,1.67,18.5,1.66,3430,2,17.5
W18X50,W460X74,50,14.7,18,0.355,7.5,0.57,800,88.9,7.38,101,40.1,10.7,1.65,16.6,1.24,3040,1.98,17.4
W18X46,W460X68,46,13.5,18.1,0.36,6.06,0.605,712,78.8,7.25,90.7,22.5,7.43,1.29,11.7,1.22,1720,1.58,17.5
W18X40,W460X60,40,11.8,17.9,0.315,6.02,0.525,612,68.4,7.21,78.4,19.1,6.35,1.27,10,0.81,1440,1.56,17.4
W18X35,W460X52,35,10.3,17.7,0.3,6,0.425,510,57.6,7.04,66.5,15.3,5.12,1.22,8.06,0.506,1140,1.51,17.3
W16X100,W410X149,100,29.4,17,0.585,10.4,0.985,1490,175,7.1,198,186,35.7,2.51,54.9,7.73,11900,2.92,16
W16X89,W410X132,89,26.2,16.8,0.525,10.4,0.875,1300,155,7.05,175,163,31.4,2.49,48.1,5.45,10200,2.88,15.9
W16X77,W410X114,77,22.6,16.5,0.455,10.3,0.76,1110,134,7,150,138,26.9,2.47,41.1,3.57,8590,2.85,15.7
W16X67,W410X100,67,19.6,16.3,0.395,10.2,0.665,954,117,6.96,130,119,23.2,2.46,35.5,2.39,7300,2.82,15.6
W16X57,W410X85,57,16.8,16.4,0.43,7.12,0.715,758,92.2,6.72,105,43.1,12.1,1.6,18.9,2.22,2660,1.92,15.7
W16X50,W410X75,50,14.7,16.3,0.38,7.07,0.63,659,81,6.68,92,37.2,10.5,1.59,16.3,1.52,2270,1.89,15.7
W16X45,W410X67,45,13.3,16.1,0.345,7.04,0.565,586,72.7,6.65,82.3,32.8,9.34,1.57,14.5,1.11,1990,1.87,15.5
W16X40,W410X60,40,11.8,16,0.305,7,0.505,518,64.7,6.63,73,28.9,8.25,1.57,12.7,0.794,1730,1.86,15.5
W16X36,W410X53,36,10.6,15.9,0.295,6.99,0.43,448,56.5,6.51,64,24.5,7,1.52,10.8,0.545,1460,1.83,15.5
W16X31,W410X46.1,31,9.13,15.9,0.275,5.53,0.44,375,47.2,6.41,54,12.4,4.49,1.17,7.03,0.461,739,1.42,15.5
W16X26,W410X38.8,26,7.68,15.7,0.25,5.5,0.345,301,38.4,6.26,44.2,9.59,3.49,1.12,5.48,0.262,565,1.38,15.4
W14X873,W360X1299,873,257,23.6,3.94,18.8,5.51,18100,1530,8.39,2030,6170,656,4.9,1020,2270,505000,6.04,18.1
W14X808,W360X1202,808,238,22.8,3.74,18.6,5.12,15900,1390,8.17,1830,5550,597,4.83,930,1840,434000,5.94,17.7
W14X730,W360X1086,730,215,22.4,3.07,17.9,4.91,14300,1280,8.17,1660,4720,527,4.69,816,1450,362000,5.68,17.5
W14X665,W360X990,665,196,21.6,2.83,17.7,4.52,12400,1150,7.98,1480,4170,472,4.62,730,1120,305000,5.57,17.1
W14X605,W360X900,605,178,20.9,2.6,17.4,4.16,10800,1040,7.8,1320,3680,423,4.55,652,869,258000,5.44,16.7
W14X550,W360X818,550,162,20.2,2.38,17.2,3.82,9430,931,7.63,1180,3250,378,4.49,583,669,219000,5.35,16.4
W14X500,W360X744,500,147,19.6,2.19,17,3.5,8210,838,7.48,1050,2880,339,4.43,522,514,187000,5.26,16.1
W14X455,W360X677,455,134,19,2.02,16.8,3.21,7190,756,7.33,936,2560,304,4.38,468,395,160000,5.17,15.8
W14X426,W360X634,426,125,18.7,1.88,16.7,3.04,6600,706,7.26,869,2360,283,4.34,434,331,144000,5.11,15.7
W14X398,W360X592,398,117,18.3,1.77,16.6,2.85,6000,656,7.16,801,2170,262,4.31,402,273,129000,5.05,15.5
W14X370,W360X551,370,109,17.9,1.66,16.5,2.66,5440,607,7.07,736,1990,241,4.27,370,222,116000,5,15.2
W14X342,W360X509,342,101,17.5,1.54,16.4,2.47,4900,558,6.98,672,1810,221,4.24,338,178,103000,4.95,15
W14X311,W360X463,311,91.4,17.1,1.41,16.2,2.26,4330,506,6.88,603,1610,199,4.2,304,136,89100,4.87,14.8
W14X283,W360X421,283,83.3,16.7,1.29,16.1,2.07,3840,459,6.79,542,1440,179,4.17,274,104,77700,4.8,14.6
W14X257,W360X382,257,75.6,16.4,1.18,16,1.89,3400,415,6.71,487,1290,161,4.13,246,79.1,67800,4.75,14.5
W14X233,W360X347,233,68.5,16,1.07,15.9,1.72,3010,375,6.63,436,1150,145,4.1,221,59.5,59000,4.69,14.3
W14X211,W360X314,211,62,15.7,0.98,15.8,1.56,2660,338,6.55,390,1030,130,4.07,198,44.6,51500,4.64,14.1
W14X193,W360X287,193,56.8,15.5,0.89,15.7,1.44,2400,310,6.5,355,931,119,4.05,180,34.8,45900,4.59,14.1
W14X176,W360X262,176,51.8,15.2,0.83,15.7,1.31,2140,281,6.43,320,838,107,4.02,163,26.5,40500,4.55,13.9
W14X159,W360X237,159,46.7,15,0.745,15.6,1.19,1900,254,6.38,287,748,96.2,4,146,19.7,35600,4.51,13.8
